Date,Day,Meal Type,Meal Name,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g)
2026-08-03,Monday,Breakfast,GF Berry Almond Overnight Oats,340,22,42,10,8
2026-08-03,Monday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5
2026-08-03,Monday,Lunch,Mom's Chicken Legs + Quinoa Bowl,465,42,38,16,8
2026-08-03,Monday,Snack 2,Apple + Almond Butter,180,5,22,10,5
2026-08-03,Monday,Dinner,Sheet Pan Salmon + Asparagus + Sweet Potato,470,36,32,20,7
2026-08-04,Tuesday,Breakfast,Berry Protein Smoothie + Creatine,340,33,32,10,7
2026-08-04,Tuesday,Snack 1,Lentil Bread + Hummus + Cucumber,220,13,26,8,8
2026-08-04,Tuesday,Lunch,Salmon Nicoise Bowl (Mon leftover),455,35,28,20,7
2026-08-04,Tuesday,Snack 2,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0
2026-08-04,Tuesday,Dinner,Ribeye + Chimichurri + Sweet Potato + Asparagus,550,42,22,34,6
2026-08-05,Wednesday,Breakfast,Spinach Feta CC Egg Bake Slice + Lentil Bread,455,37,28,25,6
2026-08-05,Wednesday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5
2026-08-05,Wednesday,Lunch,Chicken Leg Mediterranean Bowl,455,38,42,15,8
2026-08-05,Wednesday,Snack 2,Parm Crisps + Almonds,180,12,3,14,2
2026-08-05,Wednesday,Dinner,Beef Chili + Avocado (uses cooked black beans),470,38,42,16,14
2026-08-06,Thursday,Breakfast,Chia Pudding + Berries + Walnuts,320,15,32,16,10
2026-08-06,Thursday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5
2026-08-06,Thursday,Lunch,Lentil & GF Sausage Soup,435,32,42,12,12
2026-08-06,Thursday,Snack 2,Edamame w/ Sea Salt,190,18,15,8,8
2026-08-06,Thursday,Dinner,Ginger Salmon Rice Bowl,470,38,45,14,5
2026-08-07,Friday,Breakfast,Green Protein Smoothie + Creatine,335,32,30,12,8
2026-08-07,Friday,Snack 1,Lentil Bread + Almond Butter,240,11,22,12,7
2026-08-07,Friday,Lunch,Beef Chili leftover,470,38,42,16,14
2026-08-07,Friday,Snack 2,Apple + Almond Butter,180,5,22,10,5
2026-08-07,Friday,Dinner,Weeknight Chicken Biryani + Cucumber Raita,495,42,52,12,5
2026-08-08,Saturday,Breakfast,Spinach Feta CC Egg Bake Slice + Berries,380,29,18,22,4
2026-08-08,Saturday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5
2026-08-08,Saturday,Lunch,Salmon Salad on Mixed Greens,415,32,18,22,6
2026-08-08,Saturday,Snack 2,Parm Chunk + Almonds,180,12,3,14,2
2026-08-08,Saturday,Dinner,Baked Cod + Broccoli + Quinoa,410,38,32,12,6
2026-08-09,Sunday,Breakfast,GF Berry Almond Overnight Oats,340,22,42,10,8
2026-08-09,Sunday,Snack 1,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0
2026-08-09,Sunday,Lunch,Lentil Sausage Soup leftover,435,32,42,12,12
2026-08-09,Sunday,Snack 2,Greek Yogurt + Blueberries + Chia,180,17,18,4,5
2026-08-09,Sunday,Dinner,Herb Roasted Chicken Thighs + Brussels + Sweet Potato,485,42,35,18,8
