Date,Day,Meal Type,Meal Name,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Recipe,Notes
2026-08-03,Monday,Breakfast,GF Berry Almond Overnight Oats,340,22,42,10,8,gf-overnight-oats,Use certified GF oats; make Sun night
2026-08-03,Monday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,Rotation
2026-08-03,Monday,Lunch,Salmon Quinoa Mason Jar,470,38,42,16,8,salmon-quinoa-jar,Premake Sun; naturally GF
2026-08-03,Monday,Snack 2,Apple + Almond Butter,180,5,22,10,5,simple-snack,Anti-inflammatory
2026-08-03,Monday,Dinner,Sheet Pan Salmon + Asparagus + Sweet Potato,470,36,32,20,7,sheet-pan-salmon,25 min; leftover salmon for Tue lunch
2026-08-04,Tuesday,Breakfast,Spinach Feta Egg Scramble + GF Toast,330,25,22,15,4,gf-egg-scramble,Use Canyon Bakehouse or similar GF bread
2026-08-04,Tuesday,Snack 1,Cottage Cheese + Pineapple,170,18,15,3,1,cottage-cheese-pineapple,Bromelain = anti-inflammatory
2026-08-04,Tuesday,Lunch,Salmon Nicoise-Style Bowl,455,35,28,20,7,salmon-nicoise-bowl,Uses Mon salmon leftovers; GF
2026-08-04,Tuesday,Snack 2,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0,simple-snack,Choline for TTC
2026-08-04,Tuesday,Dinner,Turkey Meatballs + Zoodles + Marinara,435,38,22,20,6,gf-turkey-meatballs,Use GF breadcrumbs or almond flour
2026-08-05,Wednesday,Breakfast,GF Berry Almond Overnight Oats,340,22,42,10,8,gf-overnight-oats,From Sun prep
2026-08-05,Wednesday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5,simple-snack,Chickpeas = folate
2026-08-05,Wednesday,Lunch,Chicken Quinoa Mediterranean Jar,455,38,42,15,8,med-chicken-jar,Grab-and-go mason jar
2026-08-05,Wednesday,Snack 2,String Cheese + 15 Almonds,180,9,4,14,3,simple-snack,Protein + healthy fat
2026-08-05,Wednesday,Dinner,Baked Cod + Roasted Broccoli + Quinoa,410,38,32,12,6,baked-cod,20 min bake; low-mercury
2026-08-06,Thursday,Breakfast,Chia Pudding + Berries + Walnuts,320,15,32,16,10,chia-pudding,Make Wed night; DHA
2026-08-06,Thursday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,Rotation
2026-08-06,Thursday,Lunch,Lentil & Chicken Sausage Soup,435,32,42,12,12,lentil-sausage-soup,Batch Sun; reheats beautifully; iron + folate
2026-08-06,Thursday,Snack 2,Edamame w/ Sea Salt (1 cup shelled),190,18,15,8,8,simple-snack,Complete plant protein
2026-08-06,Thursday,Dinner,Ginger Salmon Rice Bowl,470,38,45,14,5,ginger-salmon-bowl,15 min; jasmine rice; anti-inflammatory ginger
2026-08-07,Friday,Breakfast,Cottage Cheese Berry Bowl w/ Hemp,335,28,28,12,6,cottage-cheese-bowl,High protein
2026-08-07,Friday,Snack 1,Cottage Cheese + Pineapple,170,18,15,3,1,cottage-cheese-pineapple,Rotation
2026-08-07,Friday,Lunch,Chicken Quinoa Mediterranean Jar,455,38,42,15,8,med-chicken-jar,Second jar from Sun prep
2026-08-07,Friday,Snack 2,Apple + Almond Butter,180,5,22,10,5,simple-snack,Rotation
2026-08-07,Friday,Dinner,Chicken Veggie Stir-Fry + Rice Noodles,455,40,42,12,7,chicken-stir-fry-gf,Use tamari not soy sauce (soy has wheat in some brands)
2026-08-08,Saturday,Breakfast,Spinach Feta Egg Scramble + GF Toast,330,25,22,15,4,gf-egg-scramble,Slow weekend breakfast
2026-08-08,Saturday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5,simple-snack,Rotation
2026-08-08,Saturday,Lunch,Salmon Salad on Mixed Greens,415,32,18,22,6,salmon-salad,Canned wild salmon; naturally GF
2026-08-08,Saturday,Snack 2,String Cheese + 15 Almonds,180,9,4,14,3,simple-snack,Rotation
2026-08-08,Saturday,Dinner,Turkey Chili + Avocado,465,38,42,15,14,turkey-chili,Batch 6; freeze 3 for future weeks
2026-08-09,Sunday,Breakfast,GF Berry Almond Overnight Oats,340,22,42,10,8,gf-overnight-oats,From Wed batch
2026-08-09,Sunday,Snack 1,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0,simple-snack,Rotation
2026-08-09,Sunday,Lunch,Turkey Chili (leftover) + Avocado,465,38,42,15,14,turkey-chili,From Sat batch
2026-08-09,Sunday,Snack 2,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,Rotation
2026-08-09,Sunday,Dinner,Herb Roasted Chicken Thighs + Brussels + Sweet Potato,485,42,35,18,8,roasted-chicken-thighs,Extra chicken = next week's lunch base
