Date,Day,Meal Type,Meal Name,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Recipe,Notes
2026-07-14,Tuesday,Breakfast,Berry Almond Overnight Oats,340,22,42,10,8,overnight-oats,Make Mon night; add walnuts in AM
2026-07-14,Tuesday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,2% Greek yogurt keeps you full
2026-07-14,Tuesday,Lunch,Mediterranean Chicken Quinoa Bowl,455,38,42,15,8,med-chicken-bowl,Assemble from Sunday prep
2026-07-14,Tuesday,Snack 2,Apple + 1 tbsp Almond Butter,180,5,22,10,5,simple-snack,Anti-inflammatory monounsaturated fat
2026-07-14,Tuesday,Dinner,Sheet Pan Salmon + Asparagus + Sweet Potato,470,36,32,20,7,sheet-pan-salmon,25 min total; leftovers = Wed lunch base
2026-07-15,Wednesday,Breakfast,Spinach Feta Egg Scramble + Toast,330,25,22,15,4,egg-scramble,2 eggs + 1 white; sprouted grain toast
2026-07-15,Wednesday,Snack 1,Cottage Cheese + Pineapple,170,18,15,3,1,cottage-cheese-pineapple,Bromelain in pineapple = anti-inflammatory
2026-07-15,Wednesday,Lunch,Salmon Quinoa Bowl w/ Tahini Drizzle,460,35,38,18,7,salmon-quinoa-bowl,Uses Tues salmon leftovers
2026-07-15,Wednesday,Snack 2,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0,simple-snack,Choline for TTC
2026-07-15,Wednesday,Dinner,Turkey Meatballs + Zoodles + Marinara,435,38,22,20,6,turkey-meatballs,Batch 12 meatballs; freeze half
2026-07-16,Thursday,Breakfast,Berry Almond Overnight Oats,340,22,42,10,8,overnight-oats,From Sunday prep
2026-07-16,Thursday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5,simple-snack,Chickpeas = folate
2026-07-16,Thursday,Lunch,Turkey Hummus Wrap w/ Spinach + Peppers,420,32,38,14,8,turkey-wrap,Heat turkey until steaming for TTC safety
2026-07-16,Thursday,Snack 2,String Cheese + 15 Almonds,180,9,4,14,3,simple-snack,Protein + healthy fat
2026-07-16,Thursday,Dinner,Baked Cod + Roasted Broccoli + Quinoa,410,38,32,12,6,baked-cod,Low-mercury fish; 20 min bake
2026-07-17,Friday,Breakfast,Chia Pudding + Berries + Walnuts,320,15,32,16,10,chia-pudding,Make Thurs night; omega-3 boost
2026-07-17,Friday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,Rotation snack
2026-07-17,Friday,Lunch,Lentil Soup + Chicken Sausage + Greens,435,32,42,12,12,lentil-soup,Reheats beautifully; iron + folate
2026-07-17,Friday,Snack 2,Edamame w/ Sea Salt (1 cup shelled),190,18,15,8,8,simple-snack,Complete plant protein
2026-07-17,Friday,Dinner,Chicken Veggie Stir-Fry + Brown Rice,455,40,42,12,7,chicken-stir-fry,15 min; use frozen stir-fry veg
2026-07-18,Saturday,Breakfast,Spinach Feta Egg Scramble + Toast,330,25,22,15,4,egg-scramble,Weekend slower breakfast
2026-07-18,Saturday,Snack 1,Cottage Cheese + Pineapple,170,18,15,3,1,cottage-cheese-pineapple,Rotation snack
2026-07-18,Saturday,Lunch,Salmon Salad on Mixed Greens,415,32,18,22,6,salmon-salad,Use canned wild salmon; TTC-safe
2026-07-18,Saturday,Snack 2,Apple + 1 tbsp Almond Butter,180,5,22,10,5,simple-snack,Rotation snack
2026-07-18,Saturday,Dinner,Turkey Chili + Avocado,465,38,42,15,14,turkey-chili,Batch 6 servings; freeze 3
2026-07-19,Sunday,Breakfast,Cottage Cheese Berry Bowl w/ Hemp Seeds,335,28,28,12,6,cottage-cheese-bowl,High protein for Sunday prep energy
2026-07-19,Sunday,Snack 1,Hummus + Cucumber + Bell Pepper,170,7,18,8,5,simple-snack,Rotation snack
2026-07-19,Sunday,Lunch,Turkey Chili (leftover) + Avocado,465,38,42,15,14,turkey-chili,From Saturday batch
2026-07-19,Sunday,Snack 2,2 Hard-Boiled Eggs + Everything Seasoning,160,13,1,11,0,simple-snack,Rotation snack
2026-07-19,Sunday,Dinner,Herb Roasted Chicken Thighs + Brussels + Sweet Potato,485,42,35,18,8,roasted-chicken-thighs,Extra chicken = next week's lunch base
2026-07-20,Monday,Breakfast,Berry Almond Overnight Oats,340,22,42,10,8,overnight-oats,From Sunday prep
2026-07-20,Monday,Snack 1,Greek Yogurt + Blueberries + Chia,180,17,18,4,5,greek-yogurt-bowl,Rotation snack
2026-07-20,Monday,Lunch,Mediterranean Chicken Quinoa Bowl,455,38,42,15,8,med-chicken-bowl,Uses Sunday roasted chicken
2026-07-20,Monday,Snack 2,String Cheese + 15 Almonds,180,9,4,14,3,simple-snack,Rotation snack
2026-07-20,Monday,Dinner,Sheet Pan Salmon + Asparagus + Sweet Potato,470,36,32,20,7,sheet-pan-salmon,Restart the cycle
